分类,素材ID,中文名称,宽,高,透明,PNG路径,WEBP路径
roles,librarian,图书管理员,87,87,True,public/art/roles/librarian.png,public/art/roles/librarian.webp
roles,investigator,调查员,87,87,True,public/art/roles/investigator.png,public/art/roles/investigator.webp
roles,chef,厨师,87,87,True,public/art/roles/chef.png,public/art/roles/chef.webp
roles,empath,共情者,87,87,True,public/art/roles/empath.png,public/art/roles/empath.webp
roles,fortuneteller,占卜师,87,87,True,public/art/roles/fortuneteller.png,public/art/roles/fortuneteller.webp
roles,monk,僧侣,87,87,True,public/art/roles/monk.png,public/art/roles/monk.webp
roles,slayer,猎手,87,87,True,public/art/roles/slayer.png,public/art/roles/slayer.webp
roles,mayor,市长,87,87,True,public/art/roles/mayor.png,public/art/roles/mayor.webp
roles,drunk,酒鬼,87,87,True,public/art/roles/drunk.png,public/art/roles/drunk.webp
roles,spy,间谍,87,87,True,public/art/roles/spy.png,public/art/roles/spy.webp
roles,imp,小恶魔,87,87,True,public/art/roles/imp.png,public/art/roles/imp.webp
roles,undertaker,送葬者,67,67,True,public/art/roles/undertaker.png,public/art/roles/undertaker.webp
roles,virgin,贞洁者,93,93,True,public/art/roles/virgin.png,public/art/roles/virgin.webp
roles,soldier,士兵,65,65,True,public/art/roles/soldier.png,public/art/roles/soldier.webp
roles,butler,管家,93,93,True,public/art/roles/butler.png,public/art/roles/butler.webp
roles,saint,圣徒,93,93,True,public/art/roles/saint.png,public/art/roles/saint.webp
roles,poisoner,投毒者,93,93,True,public/art/roles/poisoner.png,public/art/roles/poisoner.webp
roles,baron,男爵,67,67,True,public/art/roles/baron.png,public/art/roles/baron.webp
roles,ravenkeeper,守鸦人,169,163,True,public/art/roles/ravenkeeper.png,public/art/roles/ravenkeeper.webp
roles,recluse,隐士,73,189,True,public/art/roles/recluse.png,public/art/roles/recluse.webp
roles,scarletwoman,红唇女郎,69,71,True,public/art/roles/scarletwoman.png,public/art/roles/scarletwoman.webp
teams,townsfolk,镇民通用令牌,87,87,True,public/art/teams/townsfolk.png,public/art/teams/townsfolk.webp
teams,outsider,外来者通用令牌,87,87,True,public/art/teams/outsider.png,public/art/teams/outsider.webp
teams,minion,爪牙通用令牌,87,87,True,public/art/teams/minion.png,public/art/teams/minion.webp
teams,traveller,旅行者罗盘,126,134,True,public/art/teams/traveller.png,public/art/teams/traveller.webp
teams,fabled,传奇角色通用星徽,71,71,True,public/art/teams/fabled.png,public/art/teams/fabled.webp
factions,good,善良阵营徽章,133,133,True,public/art/factions/good.png,public/art/factions/good.webp
factions,evil,邪恶阵营徽章,137,137,True,public/art/factions/evil.png,public/art/factions/evil.webp
decoration,mystery-sigil,神秘纹章（纯装饰）,138,136,True,public/art/decoration/mystery-sigil.png,public/art/decoration/mystery-sigil.webp
status,alive,存活,75,75,True,public/art/status/alive.png,public/art/status/alive.webp
status,dead,死亡,75,75,True,public/art/status/dead.png,public/art/status/dead.webp
status,poisoned,中毒,75,75,True,public/art/status/poisoned.png,public/art/status/poisoned.webp
status,nomination,提名,75,75,True,public/art/status/nomination.png,public/art/status/nomination.webp
status,execution,处决,75,75,True,public/art/status/execution.png,public/art/status/execution.webp
status,protected,受保护,75,75,True,public/art/status/protected.png,public/art/status/protected.webp
status,unavailable,不可用,69,69,True,public/art/status/unavailable.png,public/art/status/unavailable.webp
status,night-action,夜间行动,69,69,True,public/art/status/night-action.png,public/art/status/night-action.webp
status,confused,状态异常／自定义标记,71,71,True,public/art/status/confused.png,public/art/status/confused.webp
status,ready,已准备,65,65,True,public/art/status/ready.png,public/art/status/ready.webp
status,waiting,等待中,67,67,True,public/art/status/waiting.png,public/art/status/waiting.webp
status,message,消息,67,67,True,public/art/status/message.png,public/art/status/message.webp
status,private,私密可见,67,67,True,public/art/status/private.png,public/art/status/private.webp
status,ghost-vote-available,死者票可用,79,79,True,public/art/status/ghost-vote-available.png,public/art/status/ghost-vote-available.webp
status,ghost-vote-used,死者票已用,79,79,True,public/art/status/ghost-vote-used.png,public/art/status/ghost-vote-used.webp
